date,state_id,state_name,vaccine,dose_number,doses_administered_cumulative
2020-12-27T23:59:59+01:00,0,NoState,AstraZeneca,1,0
2020-12-27T23:59:59+01:00,0,NoState,AstraZeneca,2,0
2020-12-27T23:59:59+01:00,0,NoState,AstraZeneca,3,0
2020-12-27T23:59:59+01:00,0,NoState,BioNTechPfizer,1,16
2020-12-27T23:59:59+01:00,0,NoState,BioNTechPfizer,2,0
2020-12-27T23:59:59+01:00,0,NoState,BioNTechPfizer,3,0
2020-12-27T23:59:59+01:00,0,NoState,Janssen,1,0
2020-12-27T23:59:59+01:00,0,NoState,Janssen,2,0
2020-12-27T23:59:59+01:00,0,NoState,Janssen,3,0
2020-12-27T23:59:59+01:00,0,NoState,Moderna,1,0
2020-12-27T23:59:59+01:00,0,NoState,Moderna,2,0
2020-12-27T23:59:59+01:00,0,NoState,Moderna,3,0
2020-12-27T23:59:59+01:00,0,NoState,Other,1,0
2020-12-27T23:59:59+01:00,0,NoState,Other,2,0
2020-12-27T23:59:59+01:00,0,NoState,Other,3,0
2020-12-27T23:59:59+01:00,1,Burgenland,AstraZeneca,1,0
2020-12-27T23:59:59+01:00,1,Burgenland,AstraZeneca,2,0
2020-12-27T23:59:59+01:00,1,Burgenland,AstraZeneca,3,0
2020-12-27T23:59:59+01:00,1,Burgenland,BioNTechPfizer,1,91
2020-12-27T23:59:59+01:00,1,Burgenland,BioNTechPfizer,2,0
2020-12-27T23:59:59+01:00,1,Burgenland,BioNTechPfizer,3,0
2020-12-27T23:59:59+01:00,1,Burgenland,Janssen,1,0
2020-12-27T23:59:59+01:00,1,Burgenland,Janssen,2,0
2020-12-27T23:59:59+01:00,1,Burgenland,Janssen,3,0
2020-12-27T23:59:59+01:00,1,Burgenland,Moderna,1,0
2020-12-27T23:59:59+01:00,1,Burgenland,Moderna,2,0
2020-12-27T23:59:59+01:00,1,Burgenland,Moderna,3,0
2020-12-27T23:59:59+01:00,1,Burgenland,Other,1,0
2020-12-27T23:59:59+01:00,1,Burgenland,Other,2,0
2020-12-27T23:59:59+01:00,1,Burgenland,Other,3,0
2020-12-27T23:59:59+01:00,2,Kärnten,AstraZeneca,1,0
2020-12-27T23:59:59+01:00,2,Kärnten,AstraZeneca,2,0
2020-12-27T23:59:59+01:00,2,Kärnten,AstraZeneca,3,0
2020-12-27T23:59:59+01:00,2,Kärnten,BioNTechPfizer,1,0
2020-12-27T23:59:59+01:00,2,Kärnten,BioNTechPfizer,2,0
2020-12-27T23:59:59+01:00,2,Kärnten,BioNTechPfizer,3,0
2020-12-27T23:59:59+01:00,2,Kärnten,Janssen,1,0
2020-12-27T23:59:59+01:00,2,Kärnten,Janssen,2,0
2020-12-27T23:59:59+01:00,2,Kärnten,Janssen,3,0
2020-12-27T23:59:59+01:00,2,Kärnten,Moderna,1,0
2020-12-27T23:59:59+01:00,2,Kärnten,Moderna,2,0
2020-12-27T23:59:59+01:00,2,Kärnten,Moderna,3,0
2020-12-27T23:59:59+01:00,2,Kärnten,Other,1,0
2020-12-27T23:59:59+01:00,2,Kärnten,Other,2,0
2020-12-27T23:59:59+01:00,2,Kärnten,Other,3,0
2020-12-27T23:59:59+01:00,3,Niederösterreich,AstraZeneca,1,0
2020-12-27T23:59:59+01:00,3,Niederösterreich,AstraZeneca,2,0
2020-12-27T23:59:59+01:00,3,Niederösterreich,AstraZeneca,3,0
2020-12-27T23:59:59+01:00,3,Niederösterreich,BioNTechPfizer,1,200
